name,lat,long,city
1,Los Angeles / Tom Bradley International Airport,33.942501,-118.407997,Los Angeles
2,Chicago O'Hare International Airport,41.9786,-87.9048,Chicago
3,John F Kennedy International Airport,40.639447,-73.779317,New York
4,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Atlanta
5,San Francisco International Airport,37.61899948120117,-122.375,San Francisco
6,Newark Liberty International Airport,40.692501,-74.168701,Newark
7,Dallas Fort Worth International Airport,32.896801,-97.038002,Dallas-Fort Worth
8,Harry Reid International Airport,36.083361,-115.151817,Las Vegas
9,Orlando International Airport,28.429399490356445,-81.30899810791016,Orlando
10,Denver International Airport,39.861698150635,-104.672996521,Denver
11,La Guardia Airport,40.777199,-73.872597,New York
12,Miami International Airport,25.79319953918457,-80.29060363769531,Miami
13,Washington Dulles International Airport,38.9445,-77.455803,Dulles
14,Phoenix Sky Harbor International Airport,33.435302,-112.005905,Phoenix
15,Seattle–Tacoma International Airport,47.449162,-122.311134,Seattle
16,Logan International Airport,42.3643,-71.005203,Boston
17,Philadelphia International Airport,39.87189865112305,-75.24109649658203,Philadelphia
18,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,Charlotte
19,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,Houston
20,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,Detroit
21,Ronald Reagan Washington National Airport,38.8521,-77.037697,Washington
22,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,Minneapolis
23,Salt Lake City International Airport,40.785749,-111.979746,Salt Lake City
24,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,Fort Lauderdale
25,Chicago Midway International Airport,41.785999,-87.752403,Chicago
26,San Diego International Airport,32.7336006165,-117.190002441,San Diego
27,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,Baltimore
28,St Louis Lambert International Airport,38.748697,-90.370003,St Louis
29,Daniel K Inouye International Airport,21.32062,-157.924228,Honolulu
30,Portland International Airport,45.58869934,-122.5979996,Portland
31,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,New Orleans
32,Tampa International Airport,27.975500106811523,-82.533203125,Tampa
33,Nashville International Airport,36.1245002746582,-86.6781997680664,Nashville
34,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,Cincinnati / Covington
35,Austin Bergstrom International Airport,30.197535,-97.662015,Austin
36,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,Raleigh/Durham
37,Pittsburgh International Airport,40.49150085,-80.23290253,Pittsburgh
38,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,San Jose
39,Metropolitan Oakland International Airport,37.721298,-122.221001,Oakland
40,Kansas City International Airport,39.2976,-94.713898,Kansas City
41,Memphis International Airport,35.04240036010742,-89.97669982910156,Memphis
42,San Antonio International Airport,29.533701,-98.469803,San Antonio
43,John Wayne Orange County International Airport,33.675701,-117.867996,Santa Ana
44,William P Hobby Airport,29.645399,-95.2789,Houston
45,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,Cleveland
46,Indianapolis International Airport,39.7173,-86.294403,Indianapolis
